Title,File Name,RT Rating,Rating,Date,Genre,Actors
1917,1917,88%,R,2019,History War,"George Mackay, Dean-Charles Chapman, Mark Strong"
21 Jump Street,21 JUMP STREET,82%,R,2012,Comedy Action,"Jonah Hill, Channing Tatum, Brie Larson"
27 Dresses,27 DRESSES,57%,PG-13,2008,Comedy Romance,"Katherine Heigl, James Marsden, Malin Akerman"
40 Year Old Virgin,40 YEAR OLD VIRGIN,84%,R,2005,Comedy Romance,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco, Seth Rogan, Elizabeth Banks"
50 First Dates,50 FIRST DATES,65%,PG-13,2004,Comedy Romance,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin"
50/50,50-50,88%,R,2011,Comedy Drama,"Joseph Goron-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Philip Baker Hall, Anjelica Huston"
9 to 5,9 TO 5,74%,PG,1980,Comedy,"Jane Fonda, Lily Tomlin, Dolly Parton, Dabney Coleman"
A Beautiful Day in the Neighborhood,A BEAUTIFUL DAY IN NEIGHBORHOOD,92%,PG,2019,Drama Biography,"Tom Hanks,Matthew Rhys, Susan Kelechi Watson"
A Beautiful Mind,A BEAUTIFUL MIND,93%,PG-13,2001,Drama,"Russell Crowe, Ed Harris, Jennifer Connolly"
A Christmas Story,A CHRISTMAS STORY 4GB,88%,PG,1983,Christmas Comedy Family,"Peter Billingsley, Darren McGavin, Melinda Dillon"
A Good Day to Die Hard,A GOOD DAY TO DIE HARD 2013,40%,R,2013,Action,"Bruce Willis,Jai Courtney, Sebastian Koch"
A Late Quartet,A LATE QUARTET,71%,R,2012,Drama,"Philip Seymore Hoffman, Christopher Walken, Mark Ivanir"
A League of Their Own,A LEAGUE OF THEIR OWN 4GB,84%,PG,1992,Comedy Drama,"Tom Hanks, Geena Davis, Madonna, Lori Petty, Jon Lovitz,Rosie O'Donnell"
A Mighty Wind,A MIGHTY WIND,75%,PG-13,2003,Comedy,"Christopher Guest, Eugene Levy, Jane Lynch"
A Most Wanted Man,A MOST WANTED MAN,65%,R,2014,Drama Mystery,"Philip Seymore Hoffman, Rachel McAdams, Grgoriy Dobrygin, Willem Dafoe, Robin Wright"
A Star is Born,A STAR IS BORN,79%,R,2018,Drama,"Bradley Cooper, Lady Gaga, Sam Elliott"
About Schmidt,ABOUT SCHMIDT,74%,R,2002,Comedy Drama,"Jack Nicholson, Hope Davis, Dermot Mulroney, Kathy Bates, Len Cariou"
Adaptation,ADAPTATION,85%,R,2002,Comedy Drama,"Nicolas Cage, Meryl Streep, Chris Cooper"
Addams Family,ADDAMS FAMILY 4GB,66%,PG-13,1991,Comedy,"Anjelica Huston, Raul Julia, Christopher Lloyd"
Addams Family Values,ADDAMS FAMILY VALUES 4GB,63%,PG-13,1993,Comedy,"Anjelica Huston, Raul Julia, Christopher Lloyd"
Ali,ALI,65%,R,2001,Drama Biography,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles, Ron Silver, Jeffrey Wright"
Almost Heros,ALMOST HEROES 4GB,64%,PG-13,1998,Comedy,"Chris Farley, Matthew Perry, Eugene Levy"
Aloha,ALOHA,28%,PG-13,2015,Comedy Romance,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray"
Amazing Grace,AMAZING GRACE,80%,G,2018,Documentary,"Aretha Franklin, Alan Elliott, Joey Carey"
Amazing Spider-Man,AMAZING SPIDER-MAN 2012,77%,PG-13,2012,Action,"Andrew Garfield, Emma Stone"
American Hustle,AMERICAN HUSTLE,74%,R,2013,Drama Crime,"Christian Bale, Bradley Cooper, Jeremy Renner, Amy Adams, Jennifer Lawrence, Louis CK"
American Pie,AMERICAN PIE 1999,61%,R,1999,Comedy,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan"
American Pie 2,AMERICAN PIE 2 2001,52%,R,2001,Comedy,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan"
American Sniper,AMERICAN SNIPER,84%,R,2014,"War, Biography","Bradley Cooper, Sienna Miller, Jake McDorman, Luke Grimes, Navid Negahban, Keir O'Donnell"
An Officer and a Gentleman,AN OFFICER AND A GENTLEMAN,81%,R,1982,Drama,"Richard Gere, Debra Winger, Louis Gossett Jr"
Anchorman,ANCHORMAN,86%,PG-13,2004,Comedy,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell"
Anchorman 2 ( Low-Def) cp,ANCHORMAN 2 PC,52%,PG-13,2013,Comedy,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell"
Anger Management,ANGER MANAGEMENT,60%,PG-13,2003,Comedy,"Adam Sandler, Jack Nicholson, Marisa Tomei"
Animal House,ANIMAL HOUSE,89%,R,1978,Comedy,"John Belushi, Kevin Bacon, Donald Sutherland, Karen Allen, Tim Matheson, John Vernon, Tom Hulce, Peter Riegert, Stephen Furst, james Widdoes, Bruce McGill, Martha Smith, Mark Metcalf, James Daughton, Mary Louise Weller"
Apollo 11,APOLLO 11 4GB,90%,G,2019,Documentary,NA
Apollo 13,APOLLO 13,87%,PG,1995,Drama History,"Tom Hanks, Bill Paxton, Kevin Bacon"
Assassination of Jesse James,ASSASSINATION OF JESSE JAMES,75%,R,2007,Drama History,"Brad Pitt, Casey Affleck, Sam Shepard"
August Osage County,AUGUST OSAGE COUNTY,65%,R,2013,Comedy Drama,"Meryl Streep, Julia Roberts, Ewan McGregor"
Avalon,AVALON,78%,PG,1990,Drama,"Armin Mueller Stahl, Aidan Quinn, Elezabeth Perkins"
Aviator,AVIATOR,79%,PG-13,2004,Biography History,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale"
Back to the Future,BACK TO THE FUTURE 1985,94%,PG,1985,Comedy,"Michael J Fox, Christopher Lloyd, Lea Thompson"
Back to the Future II,BACK TO THE FUTURE II 1989,85%,PG,1989,Comedy,"Michael J Fox, Christopher Lloyd, Lea Thompson"
Back to the Future III,BACK TO THE FUTURE III 1990,78%,PG,1990,Adventure Fantasy,"Michael J Fox, Christopher Lloyd, Lea Thompson"
Balls of Fury,BALLS OF FURY,33%,PG-13,2007,Comedy,"Christopher Walken, George Lopez, Dan Fogler"
